title,slug,short_desc,long_desc,image_url,demo_url,github_url,workflow_url    ,dashboard_url   ,integration_url ,status,featured,display_order,publish_date,is_visible,is_deleted
AI-Powered Customer Feedback Automation,ai-powered-customer-feedback-automation-system,"Automatically analyze customer feedback using AI and route it to the right channels, eliminating manual triage and enabling real-time sentiment tracking.","**Self-Hosted**

This workflow provides a complete end-to-end system for capturing, analyzing, and routing customer feedback. By combining local multimodal AI processing with structured data storage, it allows teams to respond to customer needs in real-time without compromising data privacy.

## Who is this for?

This is designed for **Customer Success Managers, Product Teams, and Community Leads** who need to automate the triage of high-volume feedback. It is particularly useful for organizations that handle sensitive customer data and prefer local AI processing over cloud-based API calls.

## 🛠️ Tech Stack

- **Tally.so**: For front-end feedback collection.
- **LM Studio**: To host the local AI models (Qwen3-VL).
- **PostgreSQL**: For persistent data storage and reporting.
- **Discord**: For real-time team notifications.

## ✨ How it works

1. **Form Submission**: The workflow triggers when a new submission is received from **Tally.so**.
2. **Multimodal Analysis**: The **OpenAI** node (pointing to **LM Studio**) processes the input using the **Qwen3-VL** model across three specific layers:
   - **Sentiment Analysis**: Evaluates the text to determine if the customer is Positive, Negative, or Neutral.
   - **Zero-Shot Classification**: Categorizes the feedback into pre-defined labels based on instructions in the prompt.
   - **Vision Processing**: Analyzes any attached images to extract descriptive keywords or identify UI elements mentioned in the feedback.
3. **Data Storage**: The **PostgreSQL** node logs the user's details, the original message, and all AI-generated insights.
4. **AI-Driven Routing**: The same **Qwen3-VL** model makes the routing decision by evaluating the classification results and determining the appropriate path for the data to follow.
5. **Discord Notification**: The **Discord** node sends a formatted message to the corresponding channel, ensuring the support team sees urgent issues while the marketing team sees positive testimonials.

## 📋 Requirements

- **LM Studio** running a local server on port `1234`.
- **Qwen3-VL-4B** (GGUF) model loaded in LM Studio.
- **PostgreSQL** instance with a table configured for feedback data.
- **Discord Bot Token** and specific Channel IDs.

## 🚀 How to set up

1. **Prepare your Local AI**:
   - Open **LM Studio** and download the `Qwen3-VL-4B` model.
   - Start the Local Server on port `1234` and ensure **CORS** is enabled.
   - Disable the **Require Authentication** setting in the Local Server tab.
2. **Configure PostgreSQL**:
   - Ensure your database is running. Create a table named `customer_feedback` with columns for `name`, `email_address`, `feedback_message`, `image_url`, `sentiment`, `category`, and `img_keywords`.
3. **Import the Workflow**:
   - Import the JSON file into your n8n instance.
4. **Link Services**:
   - Update the **Webhook** node with your Tally.so URL.
   - In the **Discord** nodes, paste the relevant **Channel IDs** for your #support, #feedback, and #general channels.
5. **Test and Activate**:
   - Toggle the workflow to **Active**.
   - Send a test submission through your Tally form and verify the data appears in PostgreSQL and Discord.

## 🔑 Credential Setup

To run this workflow, you must configure the following credentials in n8n:

- **OpenAI API (Local)**:
  - Create a new **OpenAI API** credential.
  - **API Key**: Enter any placeholder text (e.g., `lm-studio`).
  - **Base URL**: Set this to your machine's local IP address (e.g., `http://192.168.1.10:1234/v1`) to ensure n8n can connect to the local AI server, especially if running within a Docker container.
- **PostgreSQL**:
  - Create a new **PostgreSQL** credential.
  - Enter your database **Host**, **Database Name**, **User**, and **Password**. If using the provided Docker setup, the host is usually `db`.
- **Discord Bot**:
  - Create a new **Discord Bot API** credential.
  - Paste your **Bot Token** obtained from the [Discord Developer Portal](https://discord.com/developers/applications).
- **Tally**:
  - Create a new **Tally API** credential.
  - Enter your **API Key**, which you can find in your Tally.so account settings.

## ⚙️ How to customize

- **Refine AI Logic**: Update the System Message in the AI node to change classification categories or sentiment sensitivity.
- **Switch to Cloud AI**: If you prefer not to use a local model, you can swap the local **LM Studio** connection for any 3rd party API, such as **OpenAI (GPT-4o)**, **Anthropic (Claude)**, or **Google Gemini**, by updating the node credentials and Base URL.
- **Expand Destinations**: Add more **Discord** nodes or integrate **Slack** to notify different departments based on the AI's routing decision.
- **Custom Triggers**: Replace the Tally webhook with a **Typeform**, **Google Forms**, or a custom **Webhook** trigger if your collection stack differs.
",https://raw.githubusercontent.com/Neloy-Barman/AI-Powered-Customer-Feedback-Automation/main/assets/ai-powered-customer-feedback-automation.gif,https://www.linkedin.com/posts/neloy-barman_n8n-ai-automation-activity-7425432214705942528-CVp0?utm_source=share&utm_medium=member_desktop&rcm=ACoAAEBr-UABdjMBdSTwFSk2cE7BrifLMJMVG5Q,https://github.com/Neloy-Barman/AI-Powered-Customer-Feedback-Automation,https://n8n.io/workflows/13314-route-and-analyze-customer-feedback-with-qwen3-vl-tally-postgresql/,,,Completed,1,2,,1,0
Affiliate Submission Hub: Form to Sheets Automation,affiliate-submission-hub-form-to-sheets-automation,Automatically capture affiliate lead submissions and route them to dedicated Google Sheets — with zero manual effort.,"## Who’s it for

**Affiliate managers**, partner programs, and teams collecting leads via public forms who want **automated, error-free routing** to separate spreadsheets per affiliate — no more manual copying or sheet hunting.

## What it does

This workflow captures new submissions from a Tally.so form, extracts the affiliate code, finds or creates the corresponding Google Sheet, appends the lead data, and sends a real-time Slack notification. New affiliates are handled automatically: if no sheet exists for the submitted code, the workflow creates one and places it in a designated Google Drive folder.

## Key features

- 📝 **Real-time Tally form capture** (Name, Email, Affiliation Code, Phone)
- 🔍 **Smart routing** by affiliation code
- 📊 **Auto-creates new affiliate sheets** when needed
- 📁 **Organized storage** in a single Google Drive folder
- 🔔 **Instant Slack notifications** with full lead details

## 🔄 How it works

1. **Tally submission** → Webhook trigger
2. Extract fields: **Name**, **Email Address**, **Phone Number**, **Affiliation Code**
3. Add current **Submission Date** and **Submission Time**
4. Search Google Drive for sheet matching the **Affiliation Code**
   - ✅ Found → **Append row** with all data
   - ❌ Not found → **Create new sheet** → Move to folder → Append row
5. Send formatted **Slack alert** with full lead info

## 📋 Requirements

- Tally.so form including **Name**, **Email Address**, **Phone Number**, and **Affiliation Code** fields
- Google Drive folder for storing affiliate sheets
- Google Sheets & Drive OAuth2 credentials (with Drive + Sheets APIs enabled)
- Slack bot token with **`chat:write`** scope
- Slack **channel ID** where notifications will be sent

## ⚙️ How to set up

1. Import the workflow into n8n
2. Create credentials:
   - **Tally API**
   - **Google Sheets OAuth2**
   - **Google Drive OAuth2**
   - **Slack Bot**
3. Configure nodes:
   - Select your **Tally form** in the webhook
   - Set the **parent Folder ID** for affiliate sheets
   - Enter your **Slack Channel ID**
4. Activate the workflow and start receiving leads!

## 🛠️ How to customize

- **Add extra fields**: Capture additional data (e.g., UTM parameters, notes, referral source) by adding the fields to your Tally form, then map them in the webhook parsing and Google Sheets **Append** nodes.
- **Change notification channels**: Replace the **Slack** node with **Discord Webhook**, **Send Email**, **Microsoft Teams**, or any other notification node to fit your team’s preferred platform.
- **Add validation & duplicate checks**: Insert **IF** nodes or a **Code** node before the sheet append to validate data quality, reject incomplete entries, or check for duplicate emails/phone numbers.
- **Support multiple programs or priority routing**: Extend the routing logic with **Switch** nodes or additional Drive searches to handle different affiliate programs, tiers, or priority queues.
",https://raw.githubusercontent.com/Neloy-Barman/Affiliate-Submission-Hub-Form-to-Sheets-Automation/main/assets/affiliate-submission-hub.gif,,https://github.com/Neloy-Barman/Affiliate-Submission-Hub-Form-to-Sheets-Automation,https://n8n.io/workflows/13369-route-tally-affiliate-leads-to-google-sheets-and-notify-teams-in-slack/,,,Completed,0,3,,1,0
Interpretable Fish Recognizer,interpretable-fish-recognizer,"An Explainable AI (XAI) tool that identifies 20 types of Bengali market fishes, using visual heatmaps to show exactly how the AI makes its predictions.","### Tech Stack
- **Language:** Python
- **Libraries:** Matplotlib, FastAI, Grad-CAM, HuggingFace
- **IDE:** VS Code
- **Notebook:** Google Colab
### Overview
I collected images for **20** different fishes that mostly get sold in bengali fish markets using fastai’s search and download methods. Then I cleaned the data using fastai vision’s cleaner widgets. I prepared the dataloader with a batch size of 32. **DenseNet-121**, **VGG-19** and **ResNet-50** were chosen as the learner models based on my previous research experience. Then I trained them using fastai’s **fine_tune()** and **fit_one_cycle()** both methods. **ResNet-50** showed the best performance. To find out the important regions for the predictions, I applied **Grad-CAM**, an **XAI** approach on all the models. Lastly I deployed the best model to **Hugging Face** and created a website integration using **Github Pages**.",https://raw.githubusercontent.com/Neloy-Barman/Interpretable-Bengali-Fish-Recognizer/main/readmeFileImages/interpretable-bengali-fish-recognizer.gif,https://www.linkedin.com/feed/update/urn:li:activity:7154152192059293696/,https://github.com/Neloy-Barman/Interpretable-Bengali-Fish-Recognizer,,,https://neloy-barman.github.io/Interpretable-Bengali-Fish-Recognizer/,Completed,0,4,,1,0
Scientific Paper Keywords Categorization,scientific-paper-keywords-categorization,"A multi-label classification tool designed to categorize keywords from research abstracts, by an optimized BERT model and deployed through Flask.","### Tech Stack
- **Language:** Python
- **Libraries:** Selenium, Pandas, FastAI, Blurr, HuggingFace, ONNX, Flask
- **IDE:** VS Code
- **Notebook:** Google Colab

### Overview
I performed a **Multi-Label Classification** task to categorize optimized keywords based on paper abstracts, aiming to recommend papers to relevant users. First, I scraped **IEEE** to fetch the paper abstracts and keywords, followed by data cleaning and pre-processing to prepare the dataset for transformer models. **BERT**, **DistilBERT**, and **RoBERTa** were chosen as the learners. After training, **BERT** demonstrated the best performance. Since the model was large in size, I compressed it using **ONNX**, which greatly improved efficiency at the cost of a slight decrease in performance. Lastly, I deployed the model to **Hugging Face**, built a custom website from scratch using **Flask**, and successfully integrated the model API.
",https://raw.githubusercontent.com/Neloy-Barman/Scientific-Paper-Keywords-Categorization/main/readmeFileImages/scientific-paper-keywords-categorization.gif,https://www.linkedin.com/feed/update/urn:li:activity:7158861904692539393/,https://github.com/Neloy-Barman/Scientific-Paper-Keywords-Categorization,,,https://scientific-paper-keywords-categorization.onrender.com/,Completed,0,5,,1,0
Artwork Caption Generator,artwork-caption-generator,An AI-powered artwork caption generator that uses a Swin Transformer and GPT-2 to automatically write creative titles for a digital art.,"### Tech Stack
- **Language:** Python
- **Libraries:** Pytorch, Transformers, HuggingFace, Selenium, Pandas, FastAI
- **IDE:** VS Code
- **Notebook:** Google Colab

### Overview
By collecting artworks and their relevant titles given by the artists and training a **Generative AI**, I created an artwork caption generator that can generate captions for newly created art. I used a **Swin Transformer** model as the encoder and **GPT-2** as the decoder model.
",/static/projects/artwork-caption-generator.png,,https://github.com/Neloy-Barman/Artwork-Description-Generator,,,https://huggingface.co/spaces/nelbarman053/Artwork-Caption-Generation,Completed,0,6,,1,0
XAI based OSCC Detector,xai-based-oscc-detector,"An Explainable AI tool detecting Oral Squamous Cell Carcinoma from medical images, using deep learning models like VGG-16 & LIME methods.","### Tech Stack
- **Language:** Python
- **Libraries:** Keras, TensorFlow, Scikit-Learn, Grad-CAM, LIME
- **Notebook:** Google Colab

### Overview
During our thesis work, we focused on **Binary Classification** for the detection of **Oral Squamous Cell Carcinoma** in histopathological images. Drawing upon relevant research, we implemented state-of-the-art **CNN**-based models such as **VGG-16**, **DenseNet-121**, and **InceptionV3**. Each model exhibited distinct performance characteristics across different scenarios. To enhance the interpretability of our models and gain insights into their decision-making processes, we incorporated Explainable Artificial Intelligence (**XAI**) methods, deploying techniques like **LIME** and **Score-CAM**. With the successful outcomes of our research, we aim to publish a relevant paper to share our methodologies and contribute to the scientific community.
",/static/projects/xai-based-oscc-detector.jpg,,https://github.com/Neloy-Barman/XAI-OSCC-Detection,,,,Completed,0,7,,1,0
Daraz 11.11 Top Selling Product Data Analysis,daraz-11-11-top-selling-product-data-analysis,"Discover top-selling e-commerce products through web scraping with Selenium, followed by Exploratory Data Analysis and an interactive Tableau dashboard.","### Tech Stack
- **Language:** Python
- **Libraries:** Selenium, Pandas, Matplotlib
- **IDE:** VS Code
- **Tools:** Tableau

### Overview
I scraped top-selling product data across various categories and subcategories during a sale using a custom **Selenium** web scraper. After merging the collected CSV files, I performed thorough data cleaning. I then conducted Exploratory Data Analysis (**EDA**) using **Pandas** and created initial data visualizations with **Matplotlib**. Finally, I exported the refined data and built an interactive dashboard using **Tableau** to present the analysis visually.",https://raw.githubusercontent.com/Neloy-Barman/Daraz-11.11-Top-Selling-Product-Data-Analysis/main/assets/daraz-11-11-top-selling-project-data-analysis.gif,https://www.linkedin.com/feed/update/urn:li:activity:7149069888232243200/,https://github.com/Neloy-Barman/Daraz-11.11-Top-Selling-Product-Data-Analysis,,,,Completed,0,8,,1,0
Goodreads Book Data Analysis,goodreads-book-data-analysis,"A complete data workflow that scrapes book data with Selenium, performs EDA with Pandas, and presents findings in a Tableau dashboard.","### Tech Stack
- **Language:** Python
- **Libraries:** Selenium, Pandas, Matplotlib
- **IDE:** VS Code
- **Tools:** Tableau

### Overview
I selected six specific book lists from a target website and built custom web scrapers using **Selenium** by carefully inspecting the web elements. After scraping the data, I merged the datasets and performed essential data cleaning and manipulation using **Pandas** to produce a finalized, clean dataset. Lastly, I conducted data analysis by building interactive visualizations and a comprehensive dashboard in **Tableau**.",https://raw.githubusercontent.com/Neloy-Barman/Goodreads-Book-Data-Analysis/main/readmeFileImages/dashboard_2.png,,https://github.com/Neloy-Barman/Goodreads-Book-Data-Analysis,,,,Completed,0,9,,1,0
Football Club Management System,football-club-management-system,"A comprehensive RDBMS for a football club, utilizing MS SQL Server for the backend and a custom Java application for the frontend.","### Tech Stack
- **Language:** Java, SQL
- **Database:** MS SQL Server
- **IDE:** IntelliJ IDEA

### Overview
As part of a university team project, we developed a comprehensive Relational Database Management System (**RDBMS**) tailored for a football club. I designed and implemented the entire database schema using **MS SQL Server**. The system seamlessly handles player records, match scheduling, team formations, and player transfers (buying/selling). It also features complete management modules for coaching and support staff. My teammates successfully integrated this database backend with a **Java**-based desktop application, providing a visually appealing and user-friendly interface.",https://raw.githubusercontent.com/Neloy-Barman/FCMS/main/football-club-management-system.gif,https://www.youtube.com/watch?v=zJW6YVEsldU,https://github.com/Neloy-Barman/FCMS,,,,Completed,0,10,,1,0
Bone Fracture Classifier,bone-fracture-classifier,"Detect bone fractures and identify body regions using CNN models on the MURA dataset, featuring Grad-CAM and XAI for transparent decision-making.","### Tech Stack
- **Language:** Python
- **Libraries:** Keras, TensorFlow, Scikit-Learn, Grad-CAM, LIME
- **Notebook:** Google Colab

### Overview
Within the context of an academic project, we leveraged the **MURA dataset**, specifically curated for bone fractures. By thoroughly studying relevant papers, we acquired valuable insights and implemented techniques aligned with our objectives, focusing on **Convolutional Neural Network (CNN)** models. Our aim was to construct a robust classification system capable of detecting fractures while identifying the corresponding bone region within the body. Furthermore, we employed **XAI (Explainable Artificial Intelligence)** techniques, including **Grad-CAM** and **Grad-CAM++**, to enhance interpretability and provide insights into the decision-making process. Although our initial results did not meet our desired level of satisfaction, we remain committed to further exploration and experimentation, aiming to apply alternative approaches that hold promise for improving the overall performance and accuracy of our fracture detection system.",/static/projects/bone-fracture-classifier.jpg,,https://github.com/Neloy-Barman/Bone-Fracture-Classification-System,,,,Completed,0,11,,1,0
